Id,TrainNo,SourceCode,DestinationCode,Cars,StartingFrom,EndAt,DepartureTime,ArrivalTime,Type,Quota,DaysOfRun
31,47104,Hyderabad,Khairatabad,NA,Hyderabad,Lingampally,7:50AM,7:55AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
32,47105,Hyderabad,Khairatabad,NA,Hyderabad,Lingampally,8:20AM,8:25AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
33,47106,Hyderabad,Khairatabad,NA,Hyderabad,Lingampally,9:00AM,9:05AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
34,47107,Hyderabad,Khairatabad,NA,Hyderabad,Lingampally,9:35AM,9:40AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
35,47108,Hyderabad,Khairatabad,NA,Hyderabad,Lingampally,10:10AM,10:15AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
36,47109,Hyderabad,Khairatabad,NA,Hyderabad,Lingampally,10:50AM,10:55AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday
37,47110,Hyderabad,Khairatabad,NA,Hyderabad,Lingampally,11:25AM,11:30AM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday
38,47111,Hyderabad,Khairatabad,NA,Hyderabad,Lingampally,11:55AM,12:00PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday
39,47112,Hyderabad,Khairatabad,NA,Hyderabad,Lingampally,1:05PM,1:10PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
40,47113,Hyderabad,Khairatabad,NA,Hyderabad,Lingampally,2:30PM,2:35PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday
41,47114,Hyderabad,Khairatabad,NA,Hyderabad,Lingampally,3:10PM,3:15PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
42,47115,Hyderabad,Khairatabad,NA,Hyderabad,Lingampally,3:40PM,3:45PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
43,47116,Hyderabad,Khairatabad,NA,Hyderabad,Lingampally,4:00PM,4:05PM,Locals,General,Monday@Tuesday@Wednesday@Thursday@Friday@Saturday@Sunday
