Source,Destination,Duration,Route,Stations,Interchanges,Normal Fare
Airport,Arumbakkam,20Min,@Blue: Airport: Meenambakkam: Nanganallur Road:;@Green: Alandur: Ekkattuthangal: Ashok Nagar: Vadapalani: Arumbakkam:,8,1,40
Airport,Ashok Nagar,15Min,@Blue: Airport: Meenambakkam: Nanganallur Road:;@Green: Alandur: Ekkattuthangal: Ashok Nagar:,6,1,35
Airport,Chennai Central,45Min,@Blue: Airport: Meenambakkam: Nanganallur Road:;@Green: Alandur: Ekkattuthangal: Ashok Nagar: Vadapalani: Arumbakkam: CMBT: Koyambedu: Thirumangalam: Anna Nagar Tower: Anna Nagar East: Shenoy Nagar: Pachaiyappas College: Kilpauk Medical College: Nehru Par,19,1,55
Airport,CMBT,22Min,@Blue: Airport: Meenambakkam: Nanganallur Road:;@Green: Alandur: Ekkattuthangal: Ashok Nagar: Vadapalani: Arumbakkam: CMBT:,9,1,40
Airport,Egmore,42Min,@Blue: Airport: Meenambakkam: Nanganallur Road:;@Green: Alandur: Ekkattuthangal: Ashok Nagar: Vadapalani: Arumbakkam: CMBT: Koyambedu: Thirumangalam: Anna Nagar Tower: Anna Nagar East: Shenoy Nagar: Pachaiyappas College: Kilpauk Medical College: Nehru Par,18,1,55
Airport,Ekkattuthangal,12Min,@Blue: Airport: Meenambakkam: Nanganallur Road:;@Green: Alandur: Ekkattuthangal:,5,1,30
Airport,Guindy,13Min,@Blue: Airport: Meenambakkam: Nanganallur Road: Alandur: Guindy:,5,0,30
Airport,Kilpauk Medical College,37Min,@Blue: Airport: Meenambakkam: Nanganallur Road:;@Green: Alandur: Ekkattuthangal: Ashok Nagar: Vadapalani: Arumbakkam: CMBT: Koyambedu: Thirumangalam: Anna Nagar Tower: Anna Nagar East: Shenoy Nagar: Pachaiyappas College: Kilpauk Medical College:,16,1,50
Airport,Koyambedu,24Min,@Blue: Airport: Meenambakkam: Nanganallur Road:;@Green: Alandur: Ekkattuthangal: Ashok Nagar: Vadapalani: Arumbakkam: CMBT: Koyambedu:,10,1,45
Airport,Little Mount,16Min,@Blue: Airport: Meenambakkam: Nanganallur Road: Alandur: Guindy: Little Mount:,6,0,30
Airport,Meenambakkam,3Min,@Blue: Airport: Meenambakkam:,2,0,10
Airport,Nandanam,22Min,@Blue: Airport: Meenambakkam: Nanganallur Road: Alandur: Guindy: Little Mount: Saidapet: Nandanam:,8,0,40
Airport,Nanganallur Road,7Min,@Blue: Airport: Meenambakkam: Nanganallur Road:,3,0,15
