Source,Destination,Duration,Route,Stations,Interchanges,Normal Fare,Concessional Fare(Sunday and national holiday)
Miyapur,Begumpet,25 Min,@Red: Miyapur: JNTU College: KPHB Colony: Kukatpally: Balanagar: Moosapet: Bharat Nagar: Erragadda: ESI Hospital: S R Nagar: Ameerpet:;@Blue: Begumpet:,12,1,40,40
Miyapur,Bharat Nagar,15 Min,@Red: Miyapur: JNTU College: KPHB Colony: Kukatpally: Balanagar: Moosapet: Bharat Nagar:,7,0,30,30
Moosapet,Ameerpet,10 Min,@Red: Moosapet: Bharat Nagar: Erragadda: ESI Hospital: S R Nagar: Ameerpet:,6,0,25,25
Moosapet,Assembly,22 Min,@Red: Moosapet: Bharat Nagar: Erragadda: ESI Hospital: S R Nagar: Ameerpet: Punjagutta: Irrum Manzil: Khairatabad: Lakdikapul: Assembly:,11,0,40,40
Moosapet,Balanagar,2 Min,@Red: Moosapet: Balanagar:,2,0,10,10
Moosapet,Begumpet,12 Min,@Red: Moosapet: Bharat Nagar: Erragadda: ESI Hospital: S R Nagar: Ameerpet:;@Blue: Begumpet:,7,1,30,30
Moosapet,Bharat Nagar,2 Min,@Red: Moosapet: Bharat Nagar:,2,0,10,10
Musarambagh,Ameerpet,26 Min,@Red: Musarambagh: New Market: Malakpet: MG Bus station: Osmania Medical College: Gandhi Bhavan: Nampally: Assembly: Lakdikapul: Khairatabad: Irrum Manzil: Punjagutta: Ameerpet:,13,0,40,40
Musarambagh,Assembly,14 Min,@Red: Musarambagh: New Market: Malakpet: MG Bus station: Osmania Medical College: Gandhi Bhavan: Nampally: Assembly:,8,0,25,25
Musarambagh,Balanagar,38 Min,@Red: Musarambagh: New Market: Malakpet: MG Bus station: Osmania Medical College: Gandhi Bhavan: Nampally: Assembly: Lakdikapul: Khairatabad: Irrum Manzil: Punjagutta: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar: Moosapet: Balanagar:,19,0,45,45
Musarambagh,Begumpet,28 Min,@Red: Musarambagh: New Market: Malakpet: MG Bus station: Osmania Medical College: Gandhi Bhavan: Nampally: Assembly: Lakdikapul: Khairatabad: Irrum Manzil: Punjagutta: Ameerpet:;@Blue: Begumpet:,14,1,40,40
Musarambagh,Bharat Nagar,34 Min,@Red: Musarambagh: New Market: Malakpet: MG Bus station: Osmania Medical College: Gandhi Bhavan: Nampally: Assembly: Lakdikapul: Khairatabad: Irrum Manzil: Punjagutta: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar:,17,0,45,45
Nagole,Ameerpet,29 Min,@Blue: Nagole: Uppal: Uppal Stadium: NGRI: Habsiguda: Tarnaka: Mettuguda: Secunderabad: Parade Grounds: Paradise: Rasool Pura: Prakash Nagar: Begumpet:;@Red: Ameerpet:,14,1,45,45
Nagole,Assembly,41 Min,@Blue: Nagole: Uppal: Uppal Stadium: NGRI: Habsiguda: Tarnaka: Mettuguda: Secunderabad: Parade Grounds: Paradise: Rasool Pura: Prakash Nagar: Begumpet:;@Red: Ameerpet: Punjagutta: Irrum Manzil: Khairatabad: Lakdikapul: Assembly:,19,1,55,55
Nagole,Balanagar,41 Min,@Blue: Nagole: Uppal: Uppal Stadium: NGRI: Habsiguda: Tarnaka: Mettuguda: Secunderabad: Parade Grounds: Paradise: Rasool Pura: Prakash Nagar: Begumpet:;@Red: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar: Moosapet: Balanagar:,20,1,55,55
Nagole,Begumpet,27 Min,@Blue: Nagole: Uppal: Uppal Stadium: NGRI: Habsiguda: Tarnaka: Mettuguda: Secunderabad: Parade Grounds: Paradise: Rasool Pura: Prakash Nagar: Begumpet:,13,0,45,45
Nagole,Bharat Nagar,37 Min,@Blue: Nagole: Uppal: Uppal Stadium: NGRI: Habsiguda: Tarnaka: Mettuguda: Secunderabad: Parade Grounds: Paradise: Rasool Pura: Prakash Nagar: Begumpet:;@Red: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar:,18,1,50,50
Nampally,Ameerpet,14 Min,@Red: Nampally: Assembly: Lakdikapul: Khairatabad: Irrum Manzil: Punjagutta: Ameerpet:,7,0,30,30
Nampally,Assembly,2 Min,@Red: Nampally: Assembly:,2,0,10,10
Nampally,Balanagar,26 Min,@Red: Nampally: Assembly: Lakdikapul: Khairatabad: Irrum Manzil: Punjagutta: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar: Moosapet: Balanagar:,13,0,40,40
Nampally,Begumpet,16 Min,@Red: Nampally: Assembly: Lakdikapul: Khairatabad: Irrum Manzil: Punjagutta: Ameerpet:;@Blue: Begumpet:,8,1,35,35
Nampally,Bharat Nagar,22 Min,@Red: Nampally: Assembly: Lakdikapul: Khairatabad: Irrum Manzil: Punjagutta: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar:,11,0,40,40
New Market,Ameerpet,24 Min,@Red: New Market: Malakpet: MG Bus station: Osmania Medical College: Gandhi Bhavan: Nampally: Assembly: Lakdikapul: Khairatabad: Irrum Manzil: Punjagutta: Ameerpet:,12,0,40,40
New Market,Assembly,12 Min,@Red: New Market: Malakpet: MG Bus station: Osmania Medical College: Gandhi Bhavan: Nampally: Assembly:,7,0,25,25
New Market,Balanagar,36 Min,@Red: New Market: Malakpet: MG Bus station: Osmania Medical College: Gandhi Bhavan: Nampally: Assembly: Lakdikapul: Khairatabad: Irrum Manzil: Punjagutta: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar: Moosapet: Balanagar:,18,0,45,45
New Market,Begumpet,26 Min,@Red: New Market: Malakpet: MG Bus station: Osmania Medical College: Gandhi Bhavan: Nampally: Assembly: Lakdikapul: Khairatabad: Irrum Manzil: Punjagutta: Ameerpet:;@Blue: Begumpet:,13,1,40,40
New Market,Bharat Nagar,32 Min,@Red: New Market: Malakpet: MG Bus station: Osmania Medical College: Gandhi Bhavan: Nampally: Assembly: Lakdikapul: Khairatabad: Irrum Manzil: Punjagutta: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar:,16,0,45,45
NGRI,Ameerpet,23 Min,@Blue: NGRI: Habsiguda: Tarnaka: Mettuguda: Secunderabad: Parade Grounds: Paradise: Rasool Pura: Prakash Nagar: Begumpet:;@Red: Ameerpet:,11,1,40,40
NGRI,Assembly,35 Min,@Blue: NGRI: Habsiguda: Tarnaka: Mettuguda: Secunderabad: Parade Grounds: Paradise: Rasool Pura: Prakash Nagar: Begumpet:;@Red: Ameerpet: Punjagutta: Irrum Manzil: Khairatabad: Lakdikapul: Assembly:,16,1,50,50
NGRI,Balanagar,35 Min,@Blue: NGRI: Habsiguda: Tarnaka: Mettuguda: Secunderabad: Parade Grounds: Paradise: Rasool Pura: Prakash Nagar: Begumpet:;@Red: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar: Moosapet: Balanagar:,17,1,50,50
NGRI,Begumpet,21 Min,@Blue: NGRI: Habsiguda: Tarnaka: Mettuguda: Secunderabad: Parade Grounds: Paradise: Rasool Pura: Prakash Nagar: Begumpet:,10,0,40,40
NGRI,Bharat Nagar,31 Min,@Blue: NGRI: Habsiguda: Tarnaka: Mettuguda: Secunderabad: Parade Grounds: Paradise: Rasool Pura: Prakash Nagar: Begumpet:;@Red: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar:,15,1,45,45
Osmania Medical College,Ameerpet,18 Min,@Red: Osmania Medical College: Gandhi Bhavan: Nampally: Assembly: Lakdikapul: Khairatabad: Irrum Manzil: Punjagutta: Ameerpet:,9,0,35,35
Osmania Medical College,Assembly,6 Min,@Red: Osmania Medical College: Gandhi Bhavan: Nampally: Assembly:,4,0,15,15
Osmania Medical College,Balanagar,30 Min,@Red: Osmania Medical College: Gandhi Bhavan: Nampally: Assembly: Lakdikapul: Khairatabad: Irrum Manzil: Punjagutta: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar: Moosapet: Balanagar:,15,0,40,40
Osmania Medical College,Begumpet,20 Min,@Red: Osmania Medical College: Gandhi Bhavan: Nampally: Assembly: Lakdikapul: Khairatabad: Irrum Manzil: Punjagutta: Ameerpet:;@Blue: Begumpet:,10,1,35,35
Osmania Medical College,Bharat Nagar,26 Min,@Red: Osmania Medical College: Gandhi Bhavan: Nampally: Assembly: Lakdikapul: Khairatabad: Irrum Manzil: Punjagutta: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar:,13,0,40,40
Parade Grounds,Ameerpet,10 Min,@Blue: Parade Grounds: Paradise: Rasool Pura: Prakash Nagar: Begumpet:;@Red: Ameerpet:,6,1,30,30
Parade Grounds,Assembly,22 Min,@Blue: Parade Grounds: Paradise: Rasool Pura: Prakash Nagar: Begumpet:;@Red: Ameerpet: Punjagutta: Irrum Manzil: Khairatabad: Lakdikapul: Assembly:,11,1,40,40
Parade Grounds,Balanagar,22 Min,@Blue: Parade Grounds: Paradise: Rasool Pura: Prakash Nagar: Begumpet:;@Red: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar: Moosapet: Balanagar:,12,1,40,40
Parade Grounds,Begumpet,8 Min,@Blue: Parade Grounds: Paradise: Rasool Pura: Prakash Nagar: Begumpet:,5,0,25,25
Parade Grounds,Bharat Nagar,18 Min,@Blue: Parade Grounds: Paradise: Rasool Pura: Prakash Nagar: Begumpet:;@Red: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar:,10,1,35,35
Paradise,Ameerpet,8 Min,@Blue: Paradise: Rasool Pura: Prakash Nagar: Begumpet:;@Red: Ameerpet:,5,1,25,25
Paradise,Assembly,20 Min,@Blue: Paradise: Rasool Pura: Prakash Nagar: Begumpet:;@Red: Ameerpet: Punjagutta: Irrum Manzil: Khairatabad: Lakdikapul: Assembly:,10,1,40,40
Paradise,Balanagar,20 Min,@Blue: Paradise: Rasool Pura: Prakash Nagar: Begumpet:;@Red: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar: Moosapet: Balanagar:,11,1,40,40
Paradise,Begumpet,6 Min,@Blue: Paradise: Rasool Pura: Prakash Nagar: Begumpet:,4,0,15,15
Paradise,Bharat Nagar,16 Min,@Blue: Paradise: Rasool Pura: Prakash Nagar: Begumpet:;@Red: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar:,9,1,35,35
Pedamma Temple,Ameerpet,12 Min,@Blue: Pedamma Temple: Jubilee Hills Check Post: Jubilee Hills Road No 5: Yusuf Guda: Madhura Nagar: Ameerpet:,6,0,25,25
Pedamma Temple,Assembly,24 Min,@Blue: Pedamma Temple: Jubilee Hills Check Post: Jubilee Hills Road No 5: Yusuf Guda: Madhura Nagar:;@Red: Ameerpet: Punjagutta: Irrum Manzil: Khairatabad: Lakdikapul: Assembly:,11,1,40,40
Pedamma Temple,Balanagar,24 Min,@Blue: Pedamma Temple: Jubilee Hills Check Post: Jubilee Hills Road No 5: Yusuf Guda: Madhura Nagar:;@Red: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar: Moosapet: Balanagar:,12,1,40,40
Pedamma Temple,Begumpet,14 Min,@Blue: Pedamma Temple: Jubilee Hills Check Post: Jubilee Hills Road No 5: Yusuf Guda: Madhura Nagar: Ameerpet: Begumpet:,7,0,30,30
Pedamma Temple,Bharat Nagar,20 Min,@Blue: Pedamma Temple: Jubilee Hills Check Post: Jubilee Hills Road No 5: Yusuf Guda: Madhura Nagar:;@Red: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar:,10,1,35,35
Prakash Nagar,Ameerpet,4 Min,@Blue: Prakash Nagar: Begumpet:;@Red: Ameerpet:,3,1,15,15
Prakash Nagar,Assembly,16 Min,@Blue: Prakash Nagar: Begumpet:;@Red: Ameerpet: Punjagutta: Irrum Manzil: Khairatabad: Lakdikapul: Assembly:,8,1,35,35
Prakash Nagar,Balanagar,16 Min,@Blue: Prakash Nagar: Begumpet:;@Red: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar: Moosapet: Balanagar:,9,1,35,35
Prakash Nagar,Begumpet,2 Min,@Blue: Prakash Nagar: Begumpet:,2,0,10,10
Prakash Nagar,Bharat Nagar,12 Min,@Blue: Prakash Nagar: Begumpet:;@Red: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar:,7,1,30,30
Punjagutta,Ameerpet,3 Min,@Red: Punjagutta: Ameerpet:,2,0,10,10
Punjagutta,Assembly,9 Min,@Red: Punjagutta: Irrum Manzil: Khairatabad: Lakdikapul: Assembly:,5,0,25,25
Punjagutta,Balanagar,15 Min,@Red: Punjagutta: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar: Moosapet: Balanagar:,8,0,30,30
Punjagutta,Begumpet,5 Min,@Red: Punjagutta: Ameerpet:;@Blue: Begumpet:,3,1,15,15
Punjagutta,Bharat Nagar,11 Min,@Red: Punjagutta: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar:,6,0,25,25
Rasool Pura,Ameerpet,6 Min,@Blue: Rasool Pura: Prakash Nagar: Begumpet:;@Red: Ameerpet:,4,1,25,25
Rasool Pura,Assembly,18 Min,@Blue: Rasool Pura: Prakash Nagar: Begumpet:;@Red: Ameerpet: Punjagutta: Irrum Manzil: Khairatabad: Lakdikapul: Assembly:,9,1,35,35
Rasool Pura,Balanagar,18 Min,@Blue: Rasool Pura: Prakash Nagar: Begumpet:;@Red: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar: Moosapet: Balanagar:,10,1,35,35
Rasool Pura,Begumpet,4 Min,@Blue: Rasool Pura: Prakash Nagar: Begumpet:,3,0,15,15
Rasool Pura,Bharat Nagar,14 Min,@Blue: Rasool Pura: Prakash Nagar: Begumpet:;@Red: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar:,8,1,30,30
S R Nagar,Ameerpet,2 Min,@Red: S R Nagar: Ameerpet:,2,0,10,10
S R Nagar,Assembly,14 Min,@Red: S R Nagar: Ameerpet: Punjagutta: Irrum Manzil: Khairatabad: Lakdikapul: Assembly:,7,0,30,30
S R Nagar,Balanagar,10 Min,@Red: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar: Moosapet: Balanagar:,6,0,25,25
S R Nagar,Begumpet,4 Min,@Red: S R Nagar: Ameerpet:;@Blue: Begumpet:,3,1,15,15
S R Nagar,Bharat Nagar,6 Min,@Red: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar:,4,0,15,15
Secunderabad,Ameerpet,13 Min,@Blue: Secunderabad: Parade Grounds: Paradise: Rasool Pura: Prakash Nagar: Begumpet:;@Red: Ameerpet:,7,1,30,30
Secunderabad,Assembly,25 Min,@Blue: Secunderabad: Parade Grounds: Paradise: Rasool Pura: Prakash Nagar: Begumpet:;@Red: Ameerpet: Punjagutta: Irrum Manzil: Khairatabad: Lakdikapul: Assembly:,12,1,40,40
Secunderabad,Balanagar,25 Min,@Blue: Secunderabad: Parade Grounds: Paradise: Rasool Pura: Prakash Nagar: Begumpet:;@Red: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar: Moosapet: Balanagar:,13,1,40,40
Secunderabad,Begumpet,11 Min,@Blue: Secunderabad: Parade Grounds: Paradise: Rasool Pura: Prakash Nagar: Begumpet:,6,0,30,30
Secunderabad,Bharat Nagar,21 Min,@Blue: Secunderabad: Parade Grounds: Paradise: Rasool Pura: Prakash Nagar: Begumpet:;@Red: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar:,11,1,40,40
Tarnaka,Ameerpet,18 Min,@Blue: Tarnaka: Mettuguda: Secunderabad: Parade Grounds: Paradise: Rasool Pura: Prakash Nagar: Begumpet:;@Red: Ameerpet:,9,1,40,40
Tarnaka,Assembly,30 Min,@Blue: Tarnaka: Mettuguda: Secunderabad: Parade Grounds: Paradise: Rasool Pura: Prakash Nagar: Begumpet:;@Red: Ameerpet: Punjagutta: Irrum Manzil: Khairatabad: Lakdikapul: Assembly:,14,1,45,45
Tarnaka,Balanagar,30 Min,@Blue: Tarnaka: Mettuguda: Secunderabad: Parade Grounds: Paradise: Rasool Pura: Prakash Nagar: Begumpet:;@Red: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar: Moosapet: Balanagar:,15,1,45,45
Tarnaka,Begumpet,16 Min,@Blue: Tarnaka: Mettuguda: Secunderabad: Parade Grounds: Paradise: Rasool Pura: Prakash Nagar: Begumpet:,8,0,35,35
Tarnaka,Bharat Nagar,26 Min,@Blue: Tarnaka: Mettuguda: Secunderabad: Parade Grounds: Paradise: Rasool Pura: Prakash Nagar: Begumpet:;@Red: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar:,13,1,45,45
Uppal,Ameerpet,27 Min,@Blue: Uppal: Uppal Stadium: NGRI: Habsiguda: Tarnaka: Mettuguda: Secunderabad: Parade Grounds: Paradise: Rasool Pura: Prakash Nagar: Begumpet:;@Red: Ameerpet:,13,1,45,45
Uppal,Assembly,39 Min,@Blue: Uppal: Uppal Stadium: NGRI: Habsiguda: Tarnaka: Mettuguda: Secunderabad: Parade Grounds: Paradise: Rasool Pura: Prakash Nagar: Begumpet:;@Red: Ameerpet: Punjagutta: Irrum Manzil: Khairatabad: Lakdikapul: Assembly:,18,1,50,50
Uppal,Balanagar,39 Min,@Blue: Uppal: Uppal Stadium: NGRI: Habsiguda: Tarnaka: Mettuguda: Secunderabad: Parade Grounds: Paradise: Rasool Pura: Prakash Nagar: Begumpet:;@Red: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar: Moosapet: Balanagar:,19,1,50,50
Uppal,Begumpet,25 Min,@Blue: Uppal: Uppal Stadium: NGRI: Habsiguda: Tarnaka: Mettuguda: Secunderabad: Parade Grounds: Paradise: Rasool Pura: Prakash Nagar: Begumpet:,12,0,45,45
Uppal,Bharat Nagar,35 Min,@Blue: Uppal: Uppal Stadium: NGRI: Habsiguda: Tarnaka: Mettuguda: Secunderabad: Parade Grounds: Paradise: Rasool Pura: Prakash Nagar: Begumpet:;@Red: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar:,17,1,50,50
Uppal Stadium,Ameerpet,25 Min,@Blue: Uppal Stadium: NGRI: Habsiguda: Tarnaka: Mettuguda: Secunderabad: Parade Grounds: Paradise: Rasool Pura: Prakash Nagar: Begumpet:;@Red: Ameerpet:,12,1,45,45
Uppal Stadium,Assembly,37 Min,@Blue: Uppal Stadium: NGRI: Habsiguda: Tarnaka: Mettuguda: Secunderabad: Parade Grounds: Paradise: Rasool Pura: Prakash Nagar: Begumpet:;@Red: Ameerpet: Punjagutta: Irrum Manzil: Khairatabad: Lakdikapul: Assembly:,17,1,50,50
Uppal Stadium,Balanagar,37 Min,@Blue: Uppal Stadium: NGRI: Habsiguda: Tarnaka: Mettuguda: Secunderabad: Parade Grounds: Paradise: Rasool Pura: Prakash Nagar: Begumpet:;@Red: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar: Moosapet: Balanagar:,18,1,50,50
Uppal Stadium,Begumpet,23 Min,@Blue: Uppal Stadium: NGRI: Habsiguda: Tarnaka: Mettuguda: Secunderabad: Parade Grounds: Paradise: Rasool Pura: Prakash Nagar: Begumpet:,11,0,40,40
Uppal Stadium,Bharat Nagar,33 Min,@Blue: Uppal Stadium: NGRI: Habsiguda: Tarnaka: Mettuguda: Secunderabad: Parade Grounds: Paradise: Rasool Pura: Prakash Nagar: Begumpet:;@Red: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar:,16,1,50,50
Victoria Memorial,Ameerpet,33 Min,@Red: Victoria Memorial: Chaitanyapuri: Dilsukhnagar: Musarambagh: New Market: Malakpet: MG Bus station: Osmania Medical College: Gandhi Bhavan: Nampally: Assembly: Lakdikapul: Khairatabad: Irrum Manzil: Punjagutta: Ameerpet:,16,0,45,45
Victoria Memorial,Assembly,21 Min,@Red: Victoria Memorial: Chaitanyapuri: Dilsukhnagar: Musarambagh: New Market: Malakpet: MG Bus station: Osmania Medical College: Gandhi Bhavan: Nampally: Assembly:,11,0,35,35
Victoria Memorial,Balanagar,45 Min,@Red: Victoria Memorial: Chaitanyapuri: Dilsukhnagar: Musarambagh: New Market: Malakpet: MG Bus station: Osmania Medical College: Gandhi Bhavan: Nampally: Assembly: Lakdikapul: Khairatabad: Irrum Manzil: Punjagutta: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar: Moosapet: Balanagar:,22,0,50,50
Victoria Memorial,Begumpet,35 Min,@Red: Victoria Memorial: Chaitanyapuri: Dilsukhnagar: Musarambagh: New Market: Malakpet: MG Bus station: Osmania Medical College: Gandhi Bhavan: Nampally: Assembly: Lakdikapul: Khairatabad: Irrum Manzil: Punjagutta: Ameerpet:;@Blue: Begumpet:,17,1,45,45
Victoria Memorial,Bharat Nagar,41 Min,@Red: Victoria Memorial: Chaitanyapuri: Dilsukhnagar: Musarambagh: New Market: Malakpet: MG Bus station: Osmania Medical College: Gandhi Bhavan: Nampally: Assembly: Lakdikapul: Khairatabad: Irrum Manzil: Punjagutta: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar:,20,0,50,50
Yusuf Guda,Ameerpet,5 Min,@Blue: Yusuf Guda: Madhura Nagar: Ameerpet:,3,0,15,15
Yusuf Guda,Assembly,17 Min,@Blue: Yusuf Guda: Madhura Nagar:;@Red: Ameerpet: Punjagutta: Irrum Manzil: Khairatabad: Lakdikapul: Assembly:,8,1,35,35
Yusuf Guda,Balanagar,17 Min,@Blue: Yusuf Guda: Madhura Nagar:;@Red: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar: Moosapet: Balanagar:,9,1,30,30
Yusuf Guda,Begumpet,7 Min,@Blue: Yusuf Guda: Madhura Nagar: Ameerpet: Begumpet:,4,0,15,15
Yusuf Guda,Bharat Nagar,13 Min,@Blue: Yusuf Guda: Madhura Nagar:;@Red: Ameerpet: S R Nagar: ESI Hospital: Erragadda: Bharat Nagar:,7,1,25,25
