Source,Destination,Duration,Route,Stations,Interchanges,Normal Fare,Concessional Fare(Sunday and national holiday)
Ameerpet,Osmania Medical College,18 Min,@Red: Ameerpet: Punjagutta: Irrum Manzil: Khairatabad: Lakdikapul: Assembly: Nampally: Gandhi Bhavan: Osmania Medical College:,9,0,35,35
Ameerpet,Parade Grounds,10 Min,@Red: Ameerpet:;@Blue: Begumpet: Prakash Nagar: Rasool Pura: Paradise: Parade Grounds:,6,1,30,30
Ameerpet,Paradise,8 Min,@Red: Ameerpet:;@Blue: Begumpet: Prakash Nagar: Rasool Pura: Paradise:,5,1,25,25
Ameerpet,Pedamma Temple,12 Min,@Blue: Ameerpet: Madhura Nagar: Yusuf Guda: Jubilee Hills Road No 5: Jubilee Hills Check Post: Pedamma Temple:,6,0,25,25
Ameerpet,Prakash Nagar,4 Min,@Red: Ameerpet:;@Blue: Begumpet: Prakash Nagar:,3,1,15,15
Ameerpet,Punjagutta,3 Min,@Red: Ameerpet: Punjagutta:,2,0,10,10
Ameerpet,Rasool Pura,6 Min,@Red: Ameerpet:;@Blue: Begumpet: Prakash Nagar: Rasool Pura:,4,1,25,25
Ameerpet,S R Nagar,2 Min,@Red: Ameerpet: S R Nagar:,2,0,10,10
Ameerpet,Secunderabad,13 Min,@Red: Ameerpet:;@Blue: Begumpet: Prakash Nagar: Rasool Pura: Paradise: Parade Grounds: Secunderabad:,7,1,35,35
Ameerpet,Tarnaka,18 Min,@Red: Ameerpet:;@Blue: Begumpet: Prakash Nagar: Rasool Pura: Paradise: Parade Grounds: Secunderabad: Mettuguda: Tarnaka:,9,1,40,40
Ameerpet,Uppal,27 Min,@Red: Ameerpet:;@Blue: Begumpet: Prakash Nagar: Rasool Pura: Paradise: Parade Grounds: Secunderabad: Mettuguda: Tarnaka: Habsiguda: NGRI: Uppal Stadium: Uppal:,13,1,45,45
Ameerpet,Uppal Stadium,25 Min,@Red: Ameerpet:;@Blue: Begumpet: Prakash Nagar: Rasool Pura: Paradise: Parade Grounds: Secunderabad: Mettuguda: Tarnaka: Habsiguda: NGRI: Uppal Stadium:,12,1,45,45
