Lines
Yellow:
Yellow:Blue:
Yellow:Red:Pink:
Yellow:
Yellow:Red:
Yellow:Pink:Red:Green:
Yellow:Pink:
Yellow:
Yellow:Violet:
Yellow:Violet:
Yellow:Pink:Red:Green:
Yellow:Blue:
Yellow:Violet:
Yellow:Pink:
Yellow:Blue:
Yellow:Pink:Red:Green:
Yellow:
Yellow:
Yellow:
Yellow:
Yellow:Magenta:
Yellow:
Yellow:Pink:Blue:Blue:
Yellow:Pink:Blue:Magenta:
Yellow:Pink:
Yellow:Violet:
Violet:
Yellow:Red:
Yellow:Pink:
Yellow:Pink:Blue:
Yellow:Pink:Blue:
Yellow:Pink:Blue:
Yellow:Pink:Blue:
Yellow:Pink:Blue:
Yellow:Pink:Blue:
Yellow:Pink:Blue:
Yellow:Pink:Blue:
Yellow:Pink:Blue:
Yellow:Pink:Blue:
Yellow:Red:Pink:
Yellow:Red:Pink:
Yellow:Violet:
Yellow:Pink:
Yellow:
Yellow:Pink:Red:Green:
Yellow:
Yellow:Red:Pink:
Yellow:Blue:
Yellow:Violet:
Yellow:Magenta:
Yellow:
Yellow:
Yellow:
Yellow:Violet:
Yellow:
Yellow:Red:
Yellow:
Yellow:Red:Pink:
Yellow:Violet:
Yellow:
Yellow:Pink:Blue:Magenta:
Yellow:Pink:Red:
Yellow:Blue:
Yellow:Violet:
Yellow:Red:Pink:
Yellow:
Yellow:Violet:
Yellow:Magenta:
Yellow:Pink:Blue:
Yellow:Pink:Blue:
Yellow:Violet:
Yellow:Violet:
Yellow:Violet:
Yellow:Magenta:
Yellow:Red:
Yellow:Blue:
Yellow:Red:
Yellow:Orange:
Yellow:Red:Pink:
Yellow:
Yellow:Violet:
Yellow:Blue:Magenta:
Yellow:Violet:
Yellow:Pink:Red:
Yellow:Red:Pink:
Yellow:Red:Pink:
Yellow:Blue:
Red:
Yellow:Blue:
Yellow:Pink:Red:
Yellow:Violet:
Yellow:Pink:Blue:
Yellow:Pink:Red:
Yellow:Red:Pink:
Yellow:Violet:
Yellow:Violet:
Yellow:Blue:
Yellow:
Yellow:
Yellow:Pink:Red:Green:
Yellow:Pink:
Yellow:Red:
Yellow:
Yellow:Red:Pink:
Yellow:Violet:
Yellow:Red:
Yellow:Red:Pink:
Yellow:Pink:
Yellow:Blue:Blue:
Yellow:Blue:
Yellow:Blue:
Yellow:Violet:
Yellow:
Yellow:Violet:
Yellow:Red:
Yellow:Violet:
Yellow:Pink:Blue:
Yellow:Pink:Red:Green:
Yellow:Pink:Red:Green:
Yellow:Magenta:
Yellow:Pink:Red:Green:
Yellow:Pink:Red:Green:
Yellow:Pink:
Yellow:Pink:Blue:
Yellow:Violet:
Yellow:Magenta:
Yellow:Violet:
Yellow:Pink:
Yellow:Blue:
Yellow:
Yellow:Violet:
Yellow:Blue:
Yellow:Blue:
Yellow:Blue:
Yellow:Blue:
Yellow:Blue:
Yellow:Blue:
Yellow:Magenta:
Yellow:Blue:Magenta:
Yellow:Magenta:
Yellow:Violet:
Yellow:Pink:Blue:Magenta:
Yellow:Magenta:
Yellow:Pink:Red:Green:
Yellow:Pink:Red:Green:
Yellow:Pink:Red:Green:
Yellow:
Yellow:Blue:
Yellow:Pink:Red:Green:
Yellow:Pink:Red:
Yellow:Blue:
Yellow:Red:
Yellow:Blue:
Yellow:Red:
Yellow:Pink:Red:Green:
Yellow:Pink:
Yellow:
Yellow:Magenta:
Yellow:Red:
Yellow:Violet:
Yellow:Pink:Red:Green:
Yellow:Blue:
Yellow:
Yellow:Pink:
Yellow:Pink:Blue:
Yellow:Pink:Red:
Yellow:Blue:
Yellow:Pink:Red:
Yellow:
Yellow:Pink:Red:
Yellow:Pink:Blue:Yellow:
Yellow:
Yellow:
Yellow:Violet:
Yellow:Violet:
Yellow:Pink:
Yellow:Violet:
Yellow:Pink:
Yellow:Pink:Red:Green:Green:
Yellow:Blue:
Yellow:Blue:
Yellow:Blue:
Yellow:Blue:
Yellow:Blue:
Yellow:Violet:
Yellow:Red:
Yellow:Pink:Blue:
Yellow:Red:
Yellow:Red:
Yellow:Red:
Yellow:Pink:
Yellow:Pink:
Yellow:Magenta:
Yellow:Pink:Red:
Yellow:Red:
Yellow:Red:Pink:
Yellow:Pink:Red:Green:
Yellow:Red:
Yellow:
Yellow:Pink:
Yellow:Pink:
Yellow:Pink:Blue:
Yellow:Magenta:
Yellow:
Yellow:Pink:Red:Green:
Yellow:Pink:Blue:
Yellow:Pink:Red:Green:
Yellow:Pink:Red:Green:
Yellow:Pink:Blue:
Yellow:Red:
Yellow:Red:Pink:
Yellow:Violet:
Yellow:
Yellow:Pink:Red:Green:
Yellow:Pink:Blue:
Yellow:Pink:Blue:
Yellow:Blue:
Yellow:Magenta:
Yellow:
Yellow:Pink:
Yellow:
Yellow:Red:
Yellow:Blue:
Yellow:
Yellow:Pink:Blue:
Yellow:Blue:
Yellow:
Yellow:Red:
Yellow:Blue:Green:
Yellow:Pink:
Yellow:
Pink:Pink:Violet:
Yellow:Pink:Violet:
Yellow:Blue:Green:
Yellow:Blue:
Yellow:Pink:Violet:
Yellow:Pink:
Yellow:Magenta:
Yellow:Blue:Green:
Yellow:
Yellow:
Yellow:
Yellow:
Yellow:Magenta:
Yellow:
Yellow:Magenta:
Yellow:Magenta:
Yellow:Pink:
Yellow:Violet:
Violet:
Yellow:Red:
Yellow:Pink:
Yellow:Pink:Blue:
Yellow:Pink:Blue:
Yellow:Pink:Blue:
Yellow:Pink:Blue:
Yellow:Pink:Blue:
Yellow:Pink:Blue:
Yellow:Pink:Blue:
Yellow:Pink:Blue:
Yellow:Pink:Blue:
Yellow:Pink:Blue:
Yellow:Red:Pink:
Yellow:Blue:Pink:
Yellow:Pink:Violet:
Yellow:Pink:
Yellow:
Yellow:Blue:Green:
Yellow:
Yellow:Red:Pink:
Yellow:Pink:Blue:
Yellow:Pink:Violet:
Yellow:Magenta:
Yellow:
Yellow:
Yellow:
Yellow:Pink:Violet:
Yellow:
Yellow:Red:
Yellow:
Yellow:Blue:Pink:
Yellow:Violet:
Yellow:
Yellow:Magenta:
Yellow:Red:
Yellow:Blue:
Yellow:Violet:
Yellow:Red:Pink:
Yellow:
Yellow:Violet:
Yellow:Magenta:
Yellow:Pink:Blue:
Yellow:Pink:Blue:
Yellow:Pink:Violet:
Yellow:Violet:
Yellow:Pink:Violet:
Yellow:Magenta:
Yellow:Red:
Yellow:Blue:
Yellow:Red:
Yellow:Pink:Orange:
Yellow:Red:Pink:
Yellow:
Yellow:Pink:Violet:
Yellow:Magenta:
Yellow:Magenta:
Yellow:Red:
Yellow:Blue:
Yellow:Blue:Pink:
Yellow:Blue:
Red:
