Station Name,Line,Opened,Layout
PALAM, Magenta Line ,29-May-18,Underground
PANCHSHEEL PARK, Magenta Line ,29-May-18,Underground
PANDIT SHREE RAM SHARMA, Green Line ,24-Jun-18,Elevated
PASCHIM VIHAR (EAST), Green Line ,02-Apr-10,Elevated
PASCHIM VIHAR (WEST), Green Line ,02-Apr-10,Elevated
PATEL CHOWK, Yellow Line ,03-Jul-05,Underground
PATEL NAGAR, Blue Line ,30-Dec-05,Elevated
PEERA GARHI, Green Line ,02-Apr-10,Elevated
PITAM PURA, Red Line ,31-Mar-04,Elevated
PRAGATI MAIDAN, Blue Line ,11-Nov-06,Elevated
PRATAP NAGAR, Red Line ,03-Oct-03,Elevated
PREET VIHAR, Blue Line branch ,06-Jan-10,Elevated
PUL BANGASH, Red Line ,03-Oct-03,Elevated
PUNJABI BAGH, Green Line ,02-Apr-10,Elevated
PUNJABI BAGH WEST, Pink Line ,14-Mar-18,Elevated
QUTAB MINAR, Yellow Line ,21-Jun-10,Elevated
R.K.PURAM, Magenta Line ,29-May-18,Underground
RAJA NAHAR SINGH - BALLABHGARH, Violet Line ,19-Nov-18,Elevated
RAJ BAGH, Red Line ,08-Mar-19,Elevated
RAJDHANI PARK, Green Line ,02-Apr-10,Elevated
RAJENDRA PLACE, Blue Line ,30-Dec-05,Elevated
RAJIV CHOWK, Yellow Line ,03-Jul-05,Underground
RAJIV CHOWK, Blue Line ,30-Dec-05,Underground
RAJOURI GARDEN, Blue Line ,30-Dec-05,Elevated
RAJOURI GARDEN, Pink Line ,14-Mar-18,Elevated
RK ASHRAM MARG, Blue Line ,30-Dec-05,Elevated
RAMESH NAGAR, Blue Line ,30-Dec-05,Elevated
RITHALA, Red Line ,31-Mar-04,Elevated
ROHINI EAST, Red Line ,31-Mar-04,Elevated
ROHINI SECTOR 18-19, Yellow Line ,10-Nov-15,Elevated
ROHINI WEST, Red Line ,31-Mar-04,Elevated
SADAR BAZAR, Magenta Line ,29-May-18,Elevated
SAKET, Yellow Line ,03-Sep-10,Underground
SAMAYPUR BADLI, Yellow Line ,10-Nov-15,Elevated
SANT SURDAS, Violet Line ,19-Nov-18,Elevated
SARAI, Violet Line ,06-Sep-15,Elevated
SARITA VIHAR, Violet Line ,03-Oct-10,Elevated
SAROJINI NAGAR, Pink Line ,06-Aug-18,Underground
SATGURU RAM SINGH MARG, Green Line branch ,27-Aug-11,Elevated
SECTOR-28, Violet Line ,06-Sep-15,Elevated
SEELAMPUR, Red Line ,24-Dec-02,At Grade
SHADIPUR, Blue Line ,30-Dec-05,Elevated
SHAHDARA, Red Line ,24-Dec-02,At Grade
SHAHID NAGAR, Red Line ,08-Mar-19,Elevated
SHAHEED STHAL - NEW BUS ADDA, Red Line ,08-Mar-19,Elevated
SHAKURPUR, Pink Line ,14-Mar-18,Elevated
SHALIMAR BAGH, Pink Line ,14-Mar-18,Underground
SHANKAR VIHAR, Magenta Line ,29-May-18,Elevated
SHASTRI NAGAR, Red Line ,03-Oct-03,Elevated
SHASTRI PARK, Red Line ,24-Dec-02,At Grade
SHIV VIHAR, Pink Line ,31-Oct-18,Elevated
SHIVAJI PARK, Green Line ,02-Apr-10,Elevated
SHIVAJI STADIUM, Orange Line ,23-Feb-11,Underground
